model,family,tier,task,n_items,n_correct,accuracy
openai-api/local/meta-llama/llama-2-13b-chat,Llama,Llama other,tom_12dim_freeresponse,60,10,0.16666666666666666
openai-api/local/meta-llama/llama-2-13b-chat,Llama,Llama other,tom_12dim_mcq,141,60,0.425531914893617
openai-api/local/meta-llama/llama-2-7b-chat,Llama,Llama other,tom_12dim_freeresponse,60,40,0.6666666666666666
openai-api/local/meta-llama/llama-2-7b-chat,Llama,Llama other,tom_12dim_mcq,141,77,0.5460992907801419
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,60,55,0.9166666666666666
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_mcq,141,140,0.9929078014184397
openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,tom_12dim_freeresponse,60,48,0.8
openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,tom_12dim_mcq,141,122,0.8652482269503546
openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,tom_12dim_freeresponse,60,48,0.8
openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,tom_12dim_mcq,141,123,0.8723404255319149
openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,tom_12dim_freeresponse,60,31,0.5166666666666667
openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,tom_12dim_mcq,141,86,0.6099290780141844
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,tom_12dim_freeresponse,60,42,0.7
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,tom_12dim_mcq,141,74,0.524822695035461
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,tom_12dim_freeresponse,60,41,0.6833333333333333
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,tom_12dim_mcq,141,17,0.12056737588652482
openai-api/local/mistralai/mixtral-8x7b-instruct,Mistral,Mistral MoE,tom_12dim_freeresponse,60,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Mistral,Mistral MoE,tom_12dim_mcq,141,0,0.0
openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,tom_12dim_freeresponse,60,52,0.8666666666666667
openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,tom_12dim_mcq,141,121,0.8581560283687943
openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,tom_12dim_freeresponse,60,38,0.6333333333333333
openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,tom_12dim_mcq,141,94,0.6666666666666666
openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,tom_12dim_freeresponse,60,54,0.9
openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,tom_12dim_mcq,141,141,1.0
openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,tom_12dim_freeresponse,60,44,0.7333333333333333
openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,tom_12dim_mcq,141,128,0.9078014184397163
openai-api/local/qwen/qwen2.5-32b-instruct,Qwen,Qwen other,tom_12dim_freeresponse,60,51,0.85
openai-api/local/qwen/qwen2.5-32b-instruct,Qwen,Qwen other,tom_12dim_mcq,141,130,0.9219858156028369
openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,tom_12dim_freeresponse,60,0,0.0
openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,tom_12dim_mcq,141,0,0.0
openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,tom_12dim_freeresponse,60,47,0.7833333333333333
openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,tom_12dim_mcq,141,129,0.9148936170212766
openai/gpt-4-0613,GPT,GPT other,tom_12dim_freeresponse,60,0,0.0
openai/gpt-4-0613,GPT,GPT other,tom_12dim_mcq,141,0,0.0
openai/gpt-4o-mini-2024-07-18,GPT,GPT other,tom_12dim_freeresponse,60,40,0.6666666666666666
openai/gpt-4o-mini-2024-07-18,GPT,GPT other,tom_12dim_mcq,141,138,0.9787234042553191
openrouter/anthropic/claude-3-haiku,Claude,Claude other,tom_12dim_freeresponse,60,52,0.8666666666666667
openrouter/anthropic/claude-3-haiku,Claude,Claude other,tom_12dim_mcq,141,131,0.9290780141843972
openrouter/anthropic/claude-opus-4.1,Claude,Claude other,tom_12dim_freeresponse,60,58,0.9666666666666667
openrouter/anthropic/claude-opus-4.1,Claude,Claude other,tom_12dim_mcq,141,141,1.0
openrouter/openai/gpt-3.5-turbo-0613,GPT,GPT other,tom_12dim_freeresponse,60,47,0.7833333333333333
openrouter/openai/gpt-3.5-turbo-0613,GPT,GPT other,tom_12dim_mcq,141,136,0.9645390070921985
openrouter/openai/gpt-4,GPT,GPT other,tom_12dim_freeresponse,60,46,0.7666666666666667
openrouter/openai/gpt-4,GPT,GPT other,tom_12dim_mcq,141,139,0.9858156028368794
