model,family,tier,task,frontier_band,guttman_cr,scalability,date_years,release_date,frontier_age_lo,frontier_age_mid,spearman_rho,spearman_p
openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,tom_12dim_mcq,3-5 yrs,0.8142,0.6284,0.5585215605749486,2024-07-23,3,4,0,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,10-12 yrs,0.9534,0.9069,0.9308692676249144,2024-12-06,10,11,0,1
openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,0.9308692676249144,2024-12-06,4,5,0,1
openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,tom_12dim_freeresponse,10-12 yrs,0.8516,0.7032,-0.26283367556468173,2023-09-27,10,11,0,1
openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,tom_12dim_mcq,NA,0.9608,0.9216,-0.26283367556468173,2023-09-27,NA,NA,0,1
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,tom_12dim_freeresponse,10-12 yrs,0.9252,0.8504,0.03832991101984941,2024-01-15,10,11,0,1
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,tom_12dim_mcq,2-3 yrs,0.9014,0.8027,0.03832991101984941,2024-01-15,2,2.5,0,1
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,tom_12dim_freeresponse,10-12 yrs,0.882,0.7639,0.3887748117727584,2024-05-22,10,11,0,1
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,tom_12dim_mcq,NA,1,1,0.3887748117727584,2024-05-22,NA,NA,0,1
openai-api/local/mistralai/mixtral-8x7b-instruct,Mistral,Mistral MoE,tom_12dim_freeresponse,NA,1,1,-0.05749486652977412,2023-12-11,NA,NA,NA,NA
openai-api/local/mistralai/mixtral-8x7b-instruct,Mistral,Mistral MoE,tom_12dim_mcq,NA,1,1,-0.05749486652977412,2023-12-11,NA,NA,NA,NA
openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,tom_12dim_freeresponse,10-12 yrs,1,1,0.09308692676249145,2024-02-04,10,11,0,1
openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,tom_12dim_mcq,4-6 yrs,0.8414,0.6828,0.09308692676249145,2024-02-04,4,5,0,1
openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,tom_12dim_freeresponse,10-12 yrs,0.916,0.8321,0.09308692676249145,2024-02-04,10,11,NA,NA
openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,tom_12dim_mcq,NA,0.9552,0.9104,0.09308692676249145,2024-02-04,NA,NA,NA,NA
openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,tom_12dim_freeresponse,10-12 yrs,0.9638,0.9277,0.09308692676249145,2024-02-04,10,11,0.2355,0.611227850409463
openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,tom_12dim_mcq,3-5 yrs,0.9832,0.9664,0.09308692676249145,2024-02-04,3,4,0.2355,0.611227850409463
openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,tom_12dim_freeresponse,10-12 yrs,1,1,0.42984257357973993,2024-06-06,10,11,0,1
openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,0.42984257357973993,2024-06-06,4,5,0,1
openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,tom_12dim_freeresponse,10-12 yrs,0.9381,0.8761,0.42984257357973993,2024-06-06,10,11,0.2355,0.611227850409463
openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,tom_12dim_mcq,3-5 yrs,0.879,0.7579,0.42984257357973993,2024-06-06,3,4,0.2355,0.611227850409463
openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,tom_12dim_freeresponse,10-12 yrs,0.9622,0.9244,0.7173169062286106,2024-09-19,10,11,0,1
openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,0.7173169062286106,2024-09-19,4,5,0,1
openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,tom_12dim_freeresponse,10-12 yrs,0.9235,0.847,0.7173169062286106,2024-09-19,10,11,0.2355,0.611227850409463
openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,tom_12dim_mcq,NA,0.8555,0.711,0.7173169062286106,2024-09-19,NA,NA,0.2355,0.611227850409463
openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,tom_12dim_freeresponse,10-12 yrs,0.9464,0.8928,1.325119780971937,2025-04-29,10,11,0.2355,0.611227850409463
openai-api/local/qwen/qwen3-8b,Qwen,Qwen small,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,1.325119780971937,2025-04-29,4,5,0.2355,0.611227850409463
openai/gpt-4o-2024-08-06,GPT,GPT standard,tom_12dim_freeresponse,10-12 yrs,0.9572,0.9144,0.5968514715947981,2024-08-06,10,11,NA,NA
openai/gpt-4o-2024-08-06,GPT,GPT standard,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,0.5968514715947981,2024-08-06,4,5,NA,NA
openai/gpt-4o-mini,GPT,GPT mini,tom_12dim_freeresponse,10-12 yrs,0.9002,0.8005,0.5448323066392882,2024-07-18,10,11,NA,NA
openai/gpt-4o-mini,GPT,GPT mini,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,0.5448323066392882,2024-07-18,4,5,NA,NA
openai/o1,GPT,GPT reasoning,tom_12dim_freeresponse,10-12 yrs,0.9123,0.8246,0.9609856262833676,2024-12-17,10,11,NA,NA
openai/o1,GPT,GPT reasoning,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,0.9609856262833676,2024-12-17,4,5,NA,NA
openai/o3-mini,GPT,GPT reasoning mini,tom_12dim_freeresponse,10-12 yrs,0.8791,0.7581,1.0841889117043122,2025-01-31,10,11,0,1
openai/o3-mini,GPT,GPT reasoning mini,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,1.0841889117043122,2025-01-31,4,5,0,1
openai/o4-mini,GPT,GPT reasoning mini,tom_12dim_freeresponse,10-12 yrs,0.8682,0.7365,1.2895277207392195,2025-04-16,10,11,0,1
openai/o4-mini,GPT,GPT reasoning mini,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,1.2895277207392195,2025-04-16,4,5,0,1
