model,task,created,log_file,dimension,construct,accuracy,stderr
openai-api/local/deepseek/deepseek-llm-67b-chat,tom_12dim_mcq,2026-07-16T23:02:17+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T23-02-17-00-00_tom-12dim-mcq_FK2m66wsm8PStgXoYNXSbT.eval,ALL (overall),ALL (overall),0.7741935483870968,0.037699916760695326
openai-api/local/deepseek/deepseek-llm-67b-chat,tom_12dim_mcq,2026-07-16T23:02:17+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T23-02-17-00-00_tom-12dim-mcq_FK2m66wsm8PStgXoYNXSbT.eval,Diverse Beliefs,Belief reasoning,0.9,0.09999999999999999
openai-api/local/deepseek/deepseek-llm-67b-chat,tom_12dim_mcq,2026-07-16T23:02:17+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T23-02-17-00-00_tom-12dim-mcq_FK2m66wsm8PStgXoYNXSbT.eval,Diverse Desires,Desire / intention inference,0.7,0.15275252316519466
openai-api/local/deepseek/deepseek-llm-67b-chat,tom_12dim_mcq,2026-07-16T23:02:17+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T23-02-17-00-00_tom-12dim-mcq_FK2m66wsm8PStgXoYNXSbT.eval,Emotion Recognition,Emotion recognition,0.9166666666666666,0.08333333333333333
openai-api/local/deepseek/deepseek-llm-67b-chat,tom_12dim_mcq,2026-07-16T23:02:17+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T23-02-17-00-00_tom-12dim-mcq_FK2m66wsm8PStgXoYNXSbT.eval,Faux Pas Detection,Pragmatic understanding,0.6,0.16329931618554522
openai-api/local/deepseek/deepseek-llm-67b-chat,tom_12dim_mcq,2026-07-16T23:02:17+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T23-02-17-00-00_tom-12dim-mcq_FK2m66wsm8PStgXoYNXSbT.eval,First-Order False Belief,Belief reasoning,0.6666666666666666,0.14213381090374028
openai-api/local/deepseek/deepseek-llm-67b-chat,tom_12dim_mcq,2026-07-16T23:02:17+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T23-02-17-00-00_tom-12dim-mcq_FK2m66wsm8PStgXoYNXSbT.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,0.8,0.13333333333333333
openai-api/local/deepseek/deepseek-llm-67b-chat,tom_12dim_mcq,2026-07-16T23:02:17+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T23-02-17-00-00_tom-12dim-mcq_FK2m66wsm8PStgXoYNXSbT.eval,Intention vs. Accident,Desire / intention inference,1.0,0.0
openai-api/local/deepseek/deepseek-llm-67b-chat,tom_12dim_mcq,2026-07-16T23:02:17+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T23-02-17-00-00_tom-12dim-mcq_FK2m66wsm8PStgXoYNXSbT.eval,Irony,Pragmatic understanding,0.8,0.13333333333333333
openai-api/local/deepseek/deepseek-llm-67b-chat,tom_12dim_mcq,2026-07-16T23:02:17+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-16T23-02-17-00-00_tom-12dim-mcq_FK2m66wsm8PStgXoYNXSbT.eval,Knowledge Access / Ignorance,Knowledge access,0.8,0.13333333333333333
