model,tom_dimension,n,n_correct,accuracy
openai-api/local/meta-llama/llama-2-13b-chat,Diverse Beliefs,18,7,0.3888888888888889
openai-api/local/meta-llama/llama-2-13b-chat,Diverse Desires,15,6,0.4
openai-api/local/meta-llama/llama-2-13b-chat,Emotion Recognition,17,11,0.6470588235294118
openai-api/local/meta-llama/llama-2-13b-chat,Faux Pas Detection,18,4,0.2222222222222222
openai-api/local/meta-llama/llama-2-13b-chat,First-Order False Belief,21,4,0.19047619047619047
openai-api/local/meta-llama/llama-2-13b-chat,Hidden Emotion (Appearance vs. Reality),18,8,0.4444444444444444
openai-api/local/meta-llama/llama-2-13b-chat,Intention vs. Accident,15,5,0.3333333333333333
openai-api/local/meta-llama/llama-2-13b-chat,Irony,15,4,0.26666666666666666
openai-api/local/meta-llama/llama-2-13b-chat,Knowledge Access / Ignorance,15,6,0.4
openai-api/local/meta-llama/llama-2-13b-chat,Sarcasm,15,2,0.13333333333333333
openai-api/local/meta-llama/llama-2-13b-chat,Second-Order False Belief,19,5,0.2631578947368421
openai-api/local/meta-llama/llama-2-13b-chat,White Lies / Prosocial Deception,15,8,0.5333333333333333
openai-api/local/meta-llama/llama-2-7b-chat,Diverse Beliefs,18,10,0.5555555555555556
openai-api/local/meta-llama/llama-2-7b-chat,Diverse Desires,15,8,0.5333333333333333
openai-api/local/meta-llama/llama-2-7b-chat,Emotion Recognition,17,16,0.9411764705882353
openai-api/local/meta-llama/llama-2-7b-chat,Faux Pas Detection,18,8,0.4444444444444444
openai-api/local/meta-llama/llama-2-7b-chat,First-Order False Belief,21,8,0.38095238095238093
openai-api/local/meta-llama/llama-2-7b-chat,Hidden Emotion (Appearance vs. Reality),18,11,0.6111111111111112
openai-api/local/meta-llama/llama-2-7b-chat,Intention vs. Accident,15,11,0.7333333333333333
openai-api/local/meta-llama/llama-2-7b-chat,Irony,15,11,0.7333333333333333
openai-api/local/meta-llama/llama-2-7b-chat,Knowledge Access / Ignorance,15,9,0.6
openai-api/local/meta-llama/llama-2-7b-chat,Sarcasm,15,8,0.5333333333333333
openai-api/local/meta-llama/llama-2-7b-chat,Second-Order False Belief,19,6,0.3157894736842105
openai-api/local/meta-llama/llama-2-7b-chat,White Lies / Prosocial Deception,15,11,0.7333333333333333
openai-api/local/meta-llama/llama-3-70b-instruct,Diverse Beliefs,18,18,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Diverse Desires,15,15,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Emotion Recognition,17,17,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Faux Pas Detection,18,16,0.8888888888888888
openai-api/local/meta-llama/llama-3-70b-instruct,First-Order False Belief,21,20,0.9523809523809523
openai-api/local/meta-llama/llama-3-70b-instruct,Hidden Emotion (Appearance vs. Reality),18,17,0.9444444444444444
openai-api/local/meta-llama/llama-3-70b-instruct,Intention vs. Accident,15,15,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Irony,15,15,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Knowledge Access / Ignorance,15,15,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Sarcasm,15,15,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Second-Order False Belief,19,19,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,White Lies / Prosocial Deception,15,13,0.8666666666666667
openai-api/local/meta-llama/llama-3-8b-instruct,Diverse Beliefs,18,16,0.8888888888888888
openai-api/local/meta-llama/llama-3-8b-instruct,Diverse Desires,15,15,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Emotion Recognition,17,17,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Faux Pas Detection,18,14,0.7777777777777778
openai-api/local/meta-llama/llama-3-8b-instruct,First-Order False Belief,21,11,0.5238095238095238
openai-api/local/meta-llama/llama-3-8b-instruct,Hidden Emotion (Appearance vs. Reality),18,16,0.8888888888888888
openai-api/local/meta-llama/llama-3-8b-instruct,Intention vs. Accident,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3-8b-instruct,Irony,15,15,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Knowledge Access / Ignorance,15,15,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Sarcasm,15,13,0.8666666666666667
openai-api/local/meta-llama/llama-3-8b-instruct,Second-Order False Belief,19,11,0.5789473684210527
openai-api/local/meta-llama/llama-3-8b-instruct,White Lies / Prosocial Deception,15,13,0.8666666666666667
