effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high,family,model_label
fixed,(Intercept),706232870.0769715,17413531845.07967,0.8263582945265316,0.40860087407019796,7.259959350994255e-13,6870077953106565e14,Claude,M1_date_x_tier
fixed,date_c,3.35356926359738,11.564551763002259,0.3508915437648672,0.7256697157342442,0.0038922220167177737,2889.4617926314845,Claude,M1_date_x_tier
fixed,tierClaude Haiku,7.408118602539607e-8,1.8258523237507671e-6,-0.6661396534210938,0.5053218408951707,7.770516948556634e-29,70626216495785.58,Claude,M1_date_x_tier
fixed,tierClaude Opus,1.4505529243852073e-7,3.5814004445618133e-6,-0.6377568077741217,0.5236319997880163,1.397828494933119e-28,150526605665107.62,Claude,M1_date_x_tier
fixed,tierClaude Sonnet,4.847313361933229e-8,1.196220848323155e-6,-0.6824801067428451,0.4949354175522199,4.781171983836897e-29,49143697211076.72,Claude,M1_date_x_tier
fixed,date_c:tierClaude Opus,6.200055956487829,30.029677569387193,0.37670613134917935,0.7063920058274511,4.6734889791608694e-4,82252.66826344868,Claude,M1_date_x_tier
fixed,(Intercept),1123887978031626400,3773209815671878700,12.380048931012647,3.351384173006802e-35,1559547822393594,809929755937445e6,Llama,M1_date_x_tier
fixed,date_c,16279299766.92224,33344590285.744476,11.479456782488132,1.673284865327078e-30,293856468.88500607,901853894545.4427,Llama,M1_date_x_tier
fixed,(Intercept),44.60367852937644,40.01342627118855,4.233493470944511,2.3008886545000752e-5,7.687196069644624,258.8054370315977,Claude,M2_date_x_dimrank
fixed,date_c,65.88132249330131,171.15918736821757,1.6119580181133901,0.10697107559870328,0.4048992855210491,10719.575975247632,Claude,M2_date_x_dimrank
fixed,dim_rank,1.0772270829183426,0.057946687154558876,1.3829119057446018,0.16669187927497048,0.9694357800346896,1.1970036716936923,Claude,M2_date_x_dimrank
fixed,date_c:dim_rank,0.8818672774803658,0.21133728006762295,-0.524577632941093,0.5998768389267369,0.551334175887215,1.4105599273601395,Claude,M2_date_x_dimrank
fixed,(Intercept),72995197.18952331,114273.63313266645,11565.60801918299,0,72771568.2415943,73219513.3551056,Llama,M2_date_x_dimrank
fixed,date_c,703.4394740550404,1.1030999722127384,4180.705767184999,0,701.2807569690098,705.6048362106972,Llama,M2_date_x_dimrank
fixed,dim_rank,25.11931454900103,0.039498758037512745,2050.078462682236,0,25.042017579189093,25.196850110672553,Llama,M2_date_x_dimrank
fixed,date_c:dim_rank,11.364257299811316,0.018178661021089816,1519.3925283017627,0,11.328683573907044,11.399942732425943,Llama,M2_date_x_dimrank
fixed,(Intercept),22.507838134328388,5.856299597048837,11.967683166892826,5.247346117741037e-33,13.516374418318694,37.480670614934304,Claude,M3_date_x_task
fixed,date_c,12.681374554377372,12.349114875284974,2.6084780481367464,0.009094584476944232,1.8804716125280563,85.51964279440064,Claude,M3_date_x_task
fixed,tasktom_12dim_mcq,0.4153957300634149,0.1203287081123044,-3.032817166572088,0.0024228234376380943,0.23544657247885092,0.7328779974931136,Claude,M3_date_x_task
fixed,date_c:tasktom_12dim_mcq,0.3319031817088389,0.3475987587951277,-1.0531107607204555,0.292290231602099,0.04261444831649246,2.585032222177496,Claude,M3_date_x_task
fixed,(Intercept),2299545691753523.5,12891658384944554,6.309378541572158,2.8015812655053586e-10,38873727796.65507,13602786993114653e4,Llama,M3_date_x_task
fixed,date_c,317602610.2126319,1175272731.6955564,5.290250905103429,1.2214867608511734e-7,224933.89470886585,448449168340.9291,Llama,M3_date_x_task
fixed,tasktom_12dim_mcq,198072781763502e17,7767842798426607e17,1.8375549725834108,0.06612800897154933,0.008225401764302745,476971557131685e50,Llama,M3_date_x_task
fixed,date_c:tasktom_12dim_mcq,9317271647601182e7,27271069107775823e8,1.8069653717712857,0.07076767858364823,0.011354134454077921,764580966574813e33,Llama,M3_date_x_task
fixed,(Intercept),55.529890128664704,41.5369030371273,5.370145333986088,7.86732136310984e-8,12.817983326480803,240.56582218602185,ALL,M4_date_x_family
fixed,date_c,30.060121601302576,59.89964245556712,1.7078664328126827,0.08766112888206747,0.60510998295926,1493.3002861166397,ALL,M4_date_x_family
fixed,familyLlama,81.8228552180981,567.147760348794,0.6354488598054846,0.525135710311383,1.0300248572534523e-4,64998233.672670096,ALL,M4_date_x_family
fixed,date_c:familyLlama,3.7551721953569435,23.206098940221413,0.21410735827465624,0.8304633377776055,2.0625308083148616e-5,683690.0646494096,ALL,M4_date_x_family
